City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Belokurikha,46,RU,1649432379,69,51.9959,84.9896,39.85,10.65
Hobart,0,AU,1649432142,86,-42.8794,147.3294,54.05,6.91
Yako,19,BF,1649432379,12,12.9667,-2.2667,108.19,5.5
Laguna,0,US,1649432380,61,38.421,-121.4238,76.01,1.01
Bolobo,58,CD,1649432380,61,-2.1667,16.2333,83.91,0.22
Canandaigua,25,US,1649432380,67,42.8742,-77.288,53.98,8.99
Mount Gambier,16,AU,1649432380,88,-37.8333,140.7667,57.11,6.91
Saskylakh,79,RU,1649432380,100,71.9167,114.0833,-10.44,2.8
Zhigalovo,98,RU,1649432380,96,54.8097,105.1578,29.32,1.14
Koprivnica,92,HR,1649432380,62,46.1628,16.8275,64.29,16.2
São Filipe,4,CV,1649432380,64,14.8961,-24.4956,76.55,8.34
Reading,0,GB,1649432381,45,51.4562,-0.9711,54.28,12.66
Huilong,0,CN,1649432381,70,31.8111,121.655,56.75,13.22
Avarua,40,CK,1649432381,83,-21.2078,-159.775,80.65,12.66
Hasaki,0,JP,1649432381,67,35.7333,140.8333,52.2,14.99
Eyl,68,SO,1649432381,78,7.9803,49.8164,81.54,11.61
Alofi,57,NU,1649432381,88,-19.0595,-169.9187,76.89,3.44
Sur,87,OM,1649432381,37,22.5667,59.5289,89.1,5.44
Bocana de Paiwas,100,NI,1649432381,45,12.7857,-85.1227,88.09,11.21
Mar del Plata,75,AR,1649432149,95,-38.0023,-57.5575,66.22,11.99
Tarime,62,TZ,1649432382,72,-1.35,34.3667,68.81,3.71
Nuuk,75,GL,1649432382,86,64.1835,-51.7216,25.41,5.75
Cuxhaven,75,DE,1649432268,61,53.8718,8.6909,46.96,24.16
Naze,0,JP,1649432382,60,28.3667,129.4833,63.52,6.31
Padang,98,ID,1649432382,79,-0.9492,100.3543,79.65,1.61
Honiara,100,SB,1649432383,86,-9.4333,159.95,77.99,5.99
Fairbanks,100,US,1649432383,69,64.8378,-147.7164,14.34,16.11
Cidreira,98,BR,1649432383,89,-30.1811,-50.2056,69.28,13.4
Mikkeli,75,FI,1649432383,87,61.6886,27.2723,41.11,9.22
Kavaratti,81,IN,1649432383,71,10.5669,72.642,84.22,9.24
Greenfield,100,US,1649432383,88,42.9614,-88.0126,37.11,12.66
Klaksvík,97,FO,1649432384,68,62.2266,-6.589,34.72,21.43
Baykit,89,RU,1649432384,97,61.67,96.37,9.3,2.73
Martapura,97,ID,1649432384,97,-3.4167,114.85,74.14,1.43
Busselton,93,AU,1649432384,79,-33.65,115.3333,58.69,13.18
East London,20,ZA,1649432384,94,-33.0153,27.9116,59.94,2.3
Butaritari,100,KI,1649432384,80,3.0707,172.7902,80.53,13.29
Lebu,98,CL,1649432384,77,-37.6167,-73.65,59.77,11.16
Komarichi,100,RU,1649432385,69,52.4151,34.7905,52.05,14.34
Orissaare,100,EE,1649432385,77,58.5592,23.0826,39.94,19.53
Oranjemund,11,NA,1649432385,54,-28.55,16.4333,67.01,23.17
Ancud,29,CL,1649432210,63,-41.8697,-73.8203,60.22,1.81
Ilulissat,75,GL,1649432385,79,69.2167,-51.1,17.62,5.75
Garelochhead,63,GB,1649432385,58,56.082,-4.8291,50.22,12.21
San Jose,20,US,1649432330,46,37.3394,-121.895,73.56,0.0
Grand Gaube,63,MU,1649432386,87,-20.0064,57.6608,78.39,4.0
Ribeira Grande,40,PT,1649432386,88,38.5167,-28.7,64.8,24.16
Río Gallegos,75,AR,1649432386,93,-51.6226,-69.2181,37.45,5.75
Saint-Philippe,78,RE,1649432386,85,-21.3585,55.7679,76.59,13.96
Orsha,93,BY,1649432386,77,54.5153,30.4053,45.66,11.07
Waingapu,97,ID,1649432386,85,-9.6567,120.2641,78.01,2.13
Gornyatskiy,96,RU,1649432386,61,48.2915,40.9575,54.16,7.38
Görele,88,TR,1649432387,93,41.0308,39.0031,53.73,2.71
Carutapera,100,BR,1649432387,96,-1.195,-46.02,75.52,2.93
Bonthe,51,SL,1649432387,63,7.5264,-12.505,86.18,11.99
Katsuura,18,JP,1649432387,74,35.1333,140.3,60.13,14.12
Isangel,100,VU,1649432387,85,-19.55,169.2667,80.35,10.51
San Juan,0,AR,1649432093,33,-31.5375,-68.5364,81.32,7.92
Chicama,87,PE,1649432387,68,-7.8447,-79.1469,66.74,7.0
Mugur-Aksy,70,RU,1649432387,86,50.35,90.5,32.2,9.33
Beringovskiy,84,RU,1649432388,95,63.05,179.3167,-5.62,4.38
Teluknaga,20,ID,1649432288,88,-6.0989,106.6381,80.19,8.05
Kruisfontein,100,ZA,1649432388,75,-34.0033,24.7314,59.88,10.94
Rancho Palos Verdes,40,US,1649432388,25,33.7445,-118.387,85.98,0.0
Mahébourg,75,MU,1649432388,94,-20.4081,57.7,78.26,11.5
Chiang Khong,82,TH,1649432388,72,20.2613,100.4046,75.47,1.03
Dingcheng,0,CN,1649432388,50,32.1272,115.0394,65.26,10.56
San Miguel de Cozumel,100,MX,1649432388,92,20.5083,-86.9458,74.95,10.0
Bambanglipuro,91,ID,1649432389,87,-7.95,110.2833,76.19,2.55
Pevek,83,RU,1649432389,100,69.7008,170.3133,-19.28,0.87
Zapadnaya Dvina,100,RU,1649432181,97,56.259,32.0745,38.43,5.48
Lensk,100,RU,1649432389,98,60.7253,114.9278,21.6,3.2
Port Hedland,4,AU,1649432389,79,-20.3167,118.5667,84.25,11.5
Zhangjiakou,43,CN,1649432279,19,40.81,114.8794,62.78,2.98
Opuwo,2,NA,1649432389,27,-18.0607,13.84,86.68,4.25
Jaqué,87,PA,1649432389,84,7.5175,-78.1703,80.11,4.23
Coquimbo,100,CL,1649432390,94,-29.9533,-71.3436,56.93,5.75
Kamenka,39,RU,1649432390,64,51.3223,42.7678,53.98,11.54
Sabha,91,LY,1649432390,12,27.0377,14.4283,88.21,12.03
Clyde River,100,CA,1649432390,78,70.4692,-68.5914,7.03,6.91
Longyearbyen,5,SJ,1649432390,62,78.2186,15.6401,15.64,11.5
Thompson,75,CA,1649432390,55,55.7435,-97.8558,32.16,4.61
Shizunai-furukawachō,78,JP,1649432390,79,42.3339,142.3669,36.91,2.89
Kavieng,100,PG,1649432390,84,-2.5744,150.7967,78.85,12.82
Chokurdakh,88,RU,1649432386,95,70.6333,147.9167,-14.49,10.76
Bondoukou,97,CI,1649432390,31,8.0333,-2.8,98.4,2.39
Chapais,100,CA,1649432391,98,49.7834,-74.8492,33.58,11.97
Santa Vitória do Palmar,0,BR,1649432391,54,-33.5189,-53.3681,76.48,9.86
Qaqortoq,47,GL,1649432391,74,60.7167,-46.0333,30.27,4.18
Petrozavodsk,75,RU,1649432354,93,61.7849,34.3469,36.86,8.95
Bengkulu,95,ID,1649432391,90,-3.8004,102.2655,75.54,4.14
Carnarvon,99,AU,1649432391,73,-24.8667,113.6333,71.67,8.05
Hong Kong,0,HK,1649432159,76,22.2855,114.1577,72.32,15.01
Labuhan,98,ID,1649432392,85,-6.8844,112.2051,78.19,11.63
Acaraú,67,BR,1649432392,75,-2.8856,-40.12,83.46,12.33
Garmsār,94,IR,1649432392,17,35.2182,52.3409,78.89,21.36
Aksarka,66,RU,1649432392,100,66.5606,67.7975,-8.52,4.47
Sitka,100,US,1649432392,87,57.0531,-135.33,37.29,0.0
Baracoa,15,CU,1649432392,62,20.3467,-74.4958,84.83,6.49
Gornyy,100,RU,1649432392,89,55.1153,83.9059,31.69,18.19
Mrągowo,79,PL,1649432393,48,53.8644,21.3051,46.4,9.95
Vostok,99,RU,1649432393,97,46.4856,135.8833,28.51,3.76
Dingle,100,PH,1649432393,93,10.9995,122.6711,74.17,4.74
Grand Island,0,US,1649432393,54,40.925,-98.342,39.61,25.32
Kuril'sk,54,RU,1649432393,81,45.2333,147.8833,31.73,10.29
Makakilo City,0,US,1649432393,71,21.3469,-158.0858,73.72,13.8
Vila Franca do Campo,100,PT,1649432122,92,37.7167,-25.4333,63.01,21.32
Sioux Lookout,20,CA,1649432393,50,50.1001,-91.917,26.67,12.66
Turka,82,UA,1649432393,57,49.1541,23.0297,55.8,14.2
Russell,0,US,1649432394,41,32.3502,-85.1999,61.88,5.75
Nsukka,90,NG,1649432394,58,6.8561,7.3927,84.13,7.31
São João da Barra,60,BR,1649432394,70,-21.6403,-41.0511,86.09,8.37
Rawson,79,AR,1649432394,74,-43.3002,-65.1023,61.61,10.36
Cabo San Lucas,20,MX,1649432394,48,22.8909,-109.9124,78.62,1.01
Kadhan,0,PK,1649432394,28,24.481,68.9859,89.11,14.45
Kiomboi,73,TZ,1649432394,59,-4.2667,34.3667,68.72,7.34
Port Hawkesbury,20,CA,1649432395,80,45.6169,-61.3485,45.91,21.85
Olinda,40,BR,1649432395,74,-8.0089,-34.8553,85.73,8.05
Port Elizabeth,40,ZA,1649432379,72,-33.918,25.5701,62.89,9.22
Ostróda,88,PL,1649432395,42,53.6967,19.9649,47.23,12.06
Ostrovnoy,100,RU,1649432395,94,68.0531,39.5131,30.83,19.64
New Norfolk,0,AU,1649432395,72,-42.7826,147.0587,53.71,3.11
Albanel,100,CA,1649432395,100,48.8832,-72.4487,33.94,18.41
Valentín Gómez Farías,6,MX,1649432395,19,28.2167,-106.5833,62.13,8.28
Telfs,99,AT,1649432396,86,47.3,11.0667,62.58,4.16
Vysha,30,RU,1649432396,69,53.8477,42.3777,49.35,10.83
Touros,86,BR,1649432396,64,-5.1989,-35.4608,86.2,14.74
Sovetskiy,100,RU,1649432396,97,61.3614,63.5842,28.0,1.28
Henties Bay,2,NA,1649432396,74,-22.116,14.2845,63.97,8.75
Chui,1,UY,1649432396,54,-33.6971,-53.4616,76.28,10.2
Saint George,0,US,1649432396,19,37.1041,-113.5841,61.79,4.61
Cabedelo,99,BR,1649432397,67,-6.9811,-34.8339,88.47,13.4
Vila Velha,40,BR,1649432397,77,-20.3297,-40.2925,84.15,11.5
San Quintín,14,MX,1649432397,25,30.4833,-115.95,77.4,2.73
Saint-Augustin,100,CA,1649432397,99,51.226,-58.6502,32.79,6.2
Olafsvik,99,IS,1649432397,63,64.8945,-23.7142,33.51,6.62
Jeremoabo,71,BR,1649432202,33,-10.075,-38.4808,92.62,9.13
Hithadhoo,68,MV,1649432397,67,-0.6,73.0833,83.5,6.98
Kaspi,70,GE,1649432398,69,41.9252,44.4257,56.3,2.24
Mendoza,0,AR,1649432398,73,-32.8908,-68.8272,72.93,6.91
Kuressaare,75,EE,1649432398,82,58.2481,22.5039,39.94,14.97
Sidi Ali,0,DZ,1649432398,50,36.0998,0.4206,62.8,14.81
San Andrés,40,CO,1649432398,70,12.5847,-81.7006,84.22,13.8
Upernavik,100,GL,1649432398,87,72.7868,-56.1549,10.33,5.95
Tuatapere,64,NZ,1649432398,82,-46.1333,167.6833,47.14,5.03
Fortuna,75,US,1649432398,94,40.5982,-124.1573,50.94,10.36
Khor,99,RU,1649432398,97,47.8861,134.9464,32.09,5.1
Barrow,100,US,1649432399,77,71.2906,-156.7887,-5.78,6.91
Sardinata,100,CO,1649432399,65,8.0829,-72.8007,80.28,4.32
Mount Isa,0,AU,1649432399,34,-20.7333,139.5,80.37,13.8
Saint Paul Harbor,75,US,1649432399,59,57.79,-152.4072,26.11,6.91
Semikarakorsk,100,RU,1649432399,62,47.5194,40.8112,56.64,7.29
Ndélé,99,CF,1649432399,23,8.4109,20.6473,94.73,6.58
Kearney,0,US,1649432399,48,40.6995,-99.0815,38.57,25.32
Gravelbourg,10,CA,1649432399,40,49.8834,-106.5512,41.27,17.02
Athabasca,86,CA,1649432400,76,54.7169,-113.2854,37.81,3.0
Castro,98,BR,1649432400,71,-24.7911,-50.0119,75.97,8.03
Le Moule,55,GP,1649432400,69,16.3332,-61.3473,82.44,17.54
Staryy Nadym,40,RU,1649432400,99,65.6118,72.6842,-4.52,9.35
Tautira,85,PF,1649432400,77,-17.7333,-149.15,81.09,17.9
Esim,91,GH,1649432400,71,4.8699,-2.2405,85.01,11.59
Lompoc,20,US,1649432401,48,34.6391,-120.4579,86.77,4.61
Tomatlán,60,MX,1649432401,52,19.9333,-105.25,81.32,5.12
Alyangula,100,AU,1649432401,94,-13.8483,136.4192,71.47,4.61
Teya,99,RU,1649432401,98,60.3778,92.6267,14.09,1.68
Bethel,75,US,1649432248,74,41.3712,-73.414,57.38,6.91
Rio Grande,68,BR,1649432401,59,-32.035,-52.0986,77.11,11.45
Mangaratiba,44,BR,1649432401,76,-22.9597,-44.0406,86.86,7.18
Nerchinskiy Zavod,63,RU,1649432402,58,51.3088,119.61,33.44,8.72
Aswān,0,EG,1649432402,4,24.0934,32.907,106.9,11.5
Halifax,100,CA,1649432402,87,44.6453,-63.5724,41.68,17.27
Caravelas,24,BR,1649432402,63,-17.7125,-39.2481,84.29,8.23
Teknāf,1,BD,1649432402,85,20.8624,92.3058,77.5,1.25
Knysna,74,ZA,1649432322,73,-34.0363,23.0471,61.05,11.92
Santa Cruz de La Palma,40,ES,1649432302,49,28.6835,-17.7642,69.94,11.5
San Cristobal,99,VE,1649432402,56,7.7669,-72.225,73.58,7.23
Santa Maria da Boa Vista,99,BR,1649432403,33,-8.8078,-39.8256,93.49,9.89
Norman Wells,20,CA,1649432403,73,65.282,-126.8329,15.84,4.61
Rybinsk,100,RU,1649432403,89,58.0446,38.8426,44.51,15.23
Turan,20,VN,1649432403,78,16.0678,108.2208,73.38,4.61
Severo-Kuril'sk,100,RU,1649432403,88,50.6789,156.125,29.17,19.91
Poum,100,NC,1649432404,79,-20.2333,164.0167,80.6,11.18
Baranchinskiy,86,RU,1649432404,95,58.1617,59.6991,29.46,1.05
Key West,75,US,1649432404,54,24.5557,-81.7826,82.4,18.41
Orange Walk District,89,BZ,1649432404,63,17.8333,-88.8333,85.12,5.23
Kiruna,100,SE,1649432404,93,67.8557,20.2251,23.92,21.85
Najrān,0,SA,1649432260,12,17.4924,44.1277,86.65,8.05
Bathsheba,40,BB,1649432404,61,13.2167,-59.5167,84.81,16.11
Flin Flon,40,CA,1649432405,69,54.7682,-101.865,30.04,4.61
Meulaboh,89,ID,1649432405,86,4.1363,96.1285,77.9,5.17
Safford,0,US,1649432405,10,32.834,-109.7076,69.12,12.66
Methóni,0,GR,1649432308,76,36.8197,21.7049,69.66,13.62
Karpathos,20,GR,1649432405,72,35.507,27.2132,64.36,16.11
Kaitangata,88,NZ,1649432405,72,-46.2817,169.8464,51.1,9.91
Brae,94,GB,1649432406,61,60.3964,-1.353,41.59,27.85
Torbay,40,CA,1649432406,86,47.6666,-52.7314,39.27,12.66
Camaçari,26,BR,1649432406,49,-12.6975,-38.3242,87.57,8.3
Yārāda,20,IN,1649432406,79,17.65,83.2667,84.52,4.61
La Rioja,99,ES,1649432406,62,42.25,-2.5,56.98,12.97
Ardakān,94,IR,1649432406,10,32.31,54.0175,79.38,8.32
Samarinda,99,ID,1649432406,99,-0.5,117.15,73.13,2.73
Yar-Sale,18,RU,1649432406,96,66.8333,70.8333,-7.1,8.86
Solnechnyy,98,RU,1649432406,95,50.7214,136.6319,20.37,3.15
Tarko-Sale,54,RU,1649432407,97,64.9225,77.785,-0.22,10.65
Kamaishi,1,JP,1649432407,76,39.2667,141.8833,39.54,8.93
Parintins,83,BR,1649432407,81,-2.6283,-56.7358,83.71,4.45
Faanui,100,PF,1649432407,75,-16.4833,-151.75,81.63,20.11
Pampierstad,23,ZA,1649432407,28,-27.7832,24.6877,70.32,9.28
Horki,100,BY,1649432407,81,54.2861,30.9842,45.45,11.61
Erzin,45,TR,1649432407,95,36.9559,36.2,59.94,9.01
Muros,100,ES,1649432407,82,42.7762,-9.0603,63.09,6.35
Conde,75,BR,1649432408,62,-7.2597,-34.9075,87.26,12.66
Ponta do Sol,65,PT,1649432408,71,32.6667,-17.1,67.01,2.84
Kirove,100,UA,1649432408,89,47.6531,35.6951,51.33,3.67
Tiksi,100,RU,1649432408,100,71.6872,128.8694,-8.39,2.39
Bambous Virieux,75,MU,1649432408,94,-20.3428,57.7575,78.22,11.5
Lüderitz,41,NA,1649432408,52,-26.6481,15.1594,70.75,15.59
Iquitos,40,PE,1649432408,74,-3.7481,-73.2472,84.24,4.61
Lishu,45,CN,1649432408,59,43.3047,124.3278,57.61,11.5
Tweed,78,CA,1649432409,77,44.4751,-77.3162,51.22,10.38
Yulara,3,AU,1649432409,39,-25.2406,130.9889,62.44,0.0
Jinchang,0,CN,1649432409,16,38.4953,102.1739,60.71,9.26
Blackwater,7,AU,1649432409,83,-23.5833,148.8833,70.0,10.07
Nishihara,20,JP,1649432409,73,26.1842,127.7558,69.08,8.05
Atasū,8,KZ,1649432409,67,48.6814,71.6433,45.03,6.93
Nova Viçosa,27,BR,1649432409,66,-17.8919,-39.3719,83.39,8.28
Cayenne,75,GF,1649432410,74,4.9333,-52.3333,84.24,14.97
Karratha,8,AU,1649432410,55,-20.7377,116.8463,84.96,15.57
Puerto Nariño,83,CO,1649432410,72,-3.7703,-70.3831,84.92,3.85
Puerto del Rosario,20,ES,1649432410,68,28.5004,-13.8627,69.55,17.27
Balkanabat,70,TM,1649432410,42,39.5108,54.3671,68.63,5.66
Zhezkazgan,70,KZ,1649432410,58,47.8043,67.7144,48.63,10.16
Hofn,0,IS,1649432410,32,64.2539,-15.2082,37.42,5.75
Río Cuarto,0,AR,1649432410,41,-33.1307,-64.3499,84.33,18.41
Greensburg,100,US,1649432410,75,40.3015,-79.5389,46.26,9.22
Kvarkeno,85,RU,1649432411,68,52.0833,59.725,44.65,3.89
Skagen,62,DK,1649432411,64,57.7209,10.5839,39.29,19.77
Zaranj,0,AF,1649432411,7,30.9667,61.8833,89.56,10.92
Maningrida,100,AU,1649432411,78,-12.0667,134.2667,77.0,7.38
Gushikawa,20,JP,1649432411,81,26.3544,127.8686,69.03,6.91
Oceanside,0,US,1649432411,28,33.1959,-117.3795,90.5,5.01
Wanaka,2,NZ,1649432411,76,-44.7,169.15,43.11,1.01
Bétaré Oya,80,CM,1649432411,34,5.6,14.0833,89.04,2.82
Nuevo Laredo,0,MX,1649432412,37,27.4763,-99.5164,70.07,6.91
Buchmany,26,UA,1649432412,61,51.0689,28.0421,49.93,14.38
Rahā,57,IN,1649432412,78,26.2333,92.5167,73.04,7.52
Manoel Urbano,27,BR,1649432412,50,-8.8389,-69.2597,91.85,2.68
Bubaque,10,GW,1649432412,74,11.2833,-15.8333,78.28,17.9
Guarapari,76,BR,1649432412,66,-20.6667,-40.4975,82.89,7.72
Ust-Tsilma,83,RU,1649432408,92,65.441,52.1498,22.86,6.62
Warmbad,14,NA,1649432404,19,-28.45,18.7333,78.48,14.23
Kiryat Gat,100,IL,1649432412,100,31.61,34.7642,65.8,7.81
Mackay,100,AU,1649432412,83,-21.15,149.2,78.78,19.57
Chul'man,100,RU,1649432413,99,56.8479,124.9104,9.77,1.99
Jasper,100,US,1649432413,65,37.2001,-94.3502,40.68,16.11
Prince Rupert,100,CA,1649432413,75,54.3161,-130.3201,41.09,19.57
Emporia,0,US,1649432413,52,38.4039,-96.1817,41.2,20.71
Imeni Babushkina,100,RU,1649432413,100,59.7573,43.1285,40.46,8.12
Vega de Alatorre,77,MX,1649432413,53,20.0333,-96.6333,75.18,9.22
Honningsvåg,20,NO,1649432260,69,70.9821,25.9704,33.55,24.16
Nizwá,100,OM,1649432413,16,22.9333,57.5333,89.04,2.19
Borogontsy,45,RU,1649432414,99,62.6683,131.1683,3.07,4.18
Akdepe,100,TM,1649432414,25,42.0551,59.3788,75.29,12.33
Necochea,76,AR,1649432414,63,-38.5473,-58.7368,67.48,5.64
Edd,0,ER,1649432414,46,13.9297,41.6925,88.7,16.69
Kushima,0,JP,1649432414,71,31.4583,131.2333,56.26,2.13
Onverwacht,40,SR,1649432414,79,5.5833,-55.1833,82.4,12.66
Coroico,84,BO,1649432414,88,-16.1889,-67.7271,70.2,3.76
Eureka,100,US,1649432414,73,40.8021,-124.1637,51.21,10.0
Padilla,86,CO,1649432415,73,3.2204,-76.3139,76.57,2.95
Khammam,79,IN,1649432332,47,17.25,80.15,87.78,12.17
Mandera,100,KE,1649432415,24,3.9366,41.867,95.94,0.43
Udachny,45,RU,1649432415,100,66.4167,112.4,-4.25,2.44
Drawsko Pomorskie,94,PL,1649432415,60,53.5306,15.8097,45.07,4.0
Mbuji-Mayi,75,CD,1649432415,69,-6.15,23.6,79.23,4.38
Japura,99,ID,1649432415,99,-0.3167,102.35,74.17,4.09
Christchurch,75,NZ,1649432415,80,-43.5333,172.6333,53.8,3.44
Atikokan,93,CA,1649432416,80,48.7555,-91.6216,26.92,13.85
Soyo,58,AO,1649432416,80,-6.1349,12.3689,81.75,10.31
Kristinestad,100,FI,1649432416,96,62.2743,21.376,36.7,12.95
Mahon,0,ES,1649432318,63,39.8885,4.2658,66.76,12.66
Gamba,71,GA,1649432416,83,-2.65,10.0,80.67,9.6
Jiuquan,0,CN,1649432416,10,39.7432,98.5174,62.42,10.71
Redcliffe,20,AU,1649432416,93,-27.2307,153.0973,68.45,6.91
Hobyo,77,SO,1649432416,75,5.3505,48.5268,82.99,14.43
Ban Phai,79,TH,1649432417,38,16.06,102.731,77.22,5.55
San Patricio,0,US,1649432417,26,28.017,-97.5169,74.93,6.02
Bayshore Gardens,0,US,1649432417,46,27.4253,-82.5904,74.21,16.11
Kahului,0,US,1649432417,76,20.8947,-156.47,73.85,13.8
Waipawa,24,NZ,1649432417,82,-41.4122,175.5153,50.41,10.36
Bayjī,100,IQ,1649432417,13,34.9311,43.487,89.22,19.15
Yarmouth,100,US,1649432417,94,41.7057,-70.2286,56.14,10.36
Sarangani,100,PH,1649432418,82,5.4033,125.4636,81.86,24.29
Penzance,20,GB,1649432418,71,50.1186,-5.5371,50.68,21.85
Iqaluit,100,CA,1649432418,79,63.7506,-68.5145,20.93,12.66
Flinders,85,AU,1649432418,86,-34.5833,150.8552,69.39,1.99
Talipan,79,PH,1649432418,88,13.9333,121.6833,79.14,4.94
Tacuarembó,5,UY,1649432343,57,-31.7333,-55.9833,77.47,3.58
Monaragala,98,LK,1649432418,88,6.8714,81.3487,76.75,3.0
Rosarito,0,MX,1649432418,20,32.3333,-117.0333,85.41,9.98
Tuscaloosa,0,US,1649432272,50,33.2098,-87.5692,56.86,6.91
Acapulco de Juárez,20,MX,1649432419,47,16.8634,-99.8901,80.42,4.61
Pangkalanbuun,100,ID,1649432419,98,-2.6833,111.6167,73.58,2.82
Sava,0,IT,1649432419,49,40.4034,17.5584,67.48,12.66
Bernalillo,0,US,1649432419,20,35.05,-106.6673,54.91,8.05
Yeppoon,84,AU,1649432419,84,-23.1333,150.7333,74.98,18.12
Te Anau,11,NZ,1649432419,92,-45.4167,167.7167,41.63,0.81
Tabas,14,IR,1649432419,11,33.5959,56.9244,78.8,6.78
